subjectid,ageGroup,inquisit.build,computer.platform,startdate,starttime,sessionid,elapsedtime,completed,taskOrder,IP12_1,IP12_2,IP12_3,IP13_1,IP13_2,IP13_3,IP14_1,IP14_2,IP14_3,IP15_1,IP15_2,IP15_3,IP16_1,IP16_2,IP16_3,IP12_1_loss,IP12_2_loss,IP12_3_loss,IP13_1_loss,IP13_2_loss,IP13_3_loss,IP14_1_loss,IP14_2_loss,IP14_3_loss,IP15_1_loss,IP15_2_loss,IP15_3_loss,IP16_1_loss,IP16_2_loss,IP16_3_loss,TotalWinAmount,finalN_reward,finalReward_reward,finalN_loss,finalReward_loss,hitrate_N1,CRrate_N1,hitrate_N2,CRrate_N2,hitrate_N3,CRrate_N3,hitrate_N4,CRrate_N4,hitrate_N5,CRrate_N5,hitrate_N6,CRrate_N6,mentaldemand_1,physicaldemand_1,temporaldemand_1,performance_1,effort_1,frustration_1,mentaldemand_2,physicaldemand_2,temporaldemand_2,performance_2,effort_2,frustration_2,mentaldemand_3,physicaldemand_3,temporaldemand_3,performance_3,effort_3,frustration_3,mentaldemand_4,physicaldemand_4,temporaldemand_4,performance_4,effort_4,frustration_4,mentaldemand_5,physicaldemand_5,temporaldemand_5,performance_5,effort_5,frustration_5,mentaldemand_6,physicaldemand_6,temporaldemand_6,performance_6,effort_6,frustration_6
370,Young,6436,win,11/1/21,20:21:14,1,1695977,1,2,1.984375,0.7265625,0.96875,0.984375,1.8046875,1.96875,1.953125,2.2265625,2.09375,not run,not run,not run,not run,not run,not run,-0.171875,-1.9453125,-3.40625,-0.203125,-0.1640625,-1.90625,-1.140625,-1.0546875,-2.34375,not run,not run,not run,not run,not run,not run,5.25,1,1,1,-0.75,0.4,0.6,0.4,0.533333333,0.4,0.333333333,0.6,0.4,0,0,0,0,17,8,17,9,13,19,18,10,20,9,16,18,15,13,17,6,18,17,18,9,19,10,17,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,Young,6436,mac,11/1/21,21:12:54,1,1662625,1,1,1.984375,2.9765625,3.96875,0.671875,0.7265625,0.71875,0.234375,0.1640625,0.21875,not run,not run,not run,not run,not run,not run,-1.796875,-2.8828125,-3.78125,-1.890625,-1.6171875,-3.78125,-1.515625,-1.2421875,-3.53125,not run,not run,not run,not run,not run,not run,5.78125,2,2,2,-1.21875,0.8,1,0.8,0.933333333,0.8,0.866666667,0.6,0.933333333,0,0,0,0,5,1,7,17,6,4,14,3,14,14,13,12,16,6,16,15,15,13,20,8,18,13,17,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
365,Young,6436,mac,11/1/21,23:06:45,1,2501485,1,1,1.484375,2.3671875,2.40625,1.484375,1.4765625,2.46875,1.484375,2.0859375,3.15625,not run,not run,not run,not run,not run,not run,-0.984375,-2.0390625,-2.84375,-1.765625,-1.2890625,-3.15625,-1.578125,-2.0859375,-3.53125,not run,not run,not run,not run,not run,not run,4,4,3,1,-4,1,0.933333333,0.6,0.8,0.4,0.933333333,0.6,0.866666667,0,0,0,0,15,5,20,17,14,13,21,6,21,12,17,21,21,4,21,8,17,21,21,6,21,16,19,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,Old,6432,and,11/2/21,03:38:56,1,2354556,1,2,0.015625,0.0234375,0.03125,0.015625,0.0234375,0.03125,0.015625,0.0234375,0.03125,not run,not run,not run,not run,not run,not run,-0.015625,-0.0703125,-2.09375,-0.140625,-0.0703125,-0.03125,-0.796875,-0.2109375,-1.53125,not run,not run,not run,not run,not run,not run,1.75,1,0.75,1,-4,1,0.533333333,0.2,0.266666667,0.6,0.8,0.4,0.466666667,0,0,0,0,17,8,16,11,10,17,17,10,18,8,15,17,15,11,16,15,16,15,17,14,17,16,14,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
378,Old,6436,win,11/2/21,08:55:12,1,1569405,1,2,1.703125,2.9765625,3.90625,0.015625,0.0234375,0.03125,0.015625,0.0234375,0.03125,not run,not run,not run,not run,not run,not run,-0.140625,-0.2109375,-0.28125,-0.046875,-0.9609375,-0.03125,-0.078125,-0.0703125,-0.09375,not run,not run,not run,not run,not run,not run,6,1,3,2,-2,0.8,1,0.8,0.933333333,0.6,0.866666667,0.6,0.933333333,0,0,0,0,12,2,11,16,13,12,18,3,16,13,17,16,20,2,18,12,19,19,20,2,19,12,20,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,Old,6436,win,11/2/21,07:59:38,1,1722339,1,2,1.046875,1.3359375,3.53125,0.015625,0.0234375,0.03125,0.015625,0.0234375,0.03125,not run,not run,not run,not run,not run,not run,-0.015625,-0.0234375,-0.03125,-0.015625,-0.6328125,-0.03125,-0.015625,-0.0234375,-0.03125,not run,not run,not run,not run,not run,not run,3,1,2,1,-4,1,0.866666667,1,0.933333333,0.6,0.8,0.4,0.8,0,0,0,0,3,2,7,15,8,3,9,3,10,13,7,8,14,6,10,10,12,13,15,9,10,3,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
382,Old,6436,win,11/2/21,08:43:03,1,1406945,1,2,0.015625,0.0234375,0.03125,0.015625,0.0234375,0.03125,0.015625,0.0234375,0.03125,not run,not run,not run,not run,not run,not run,-0.015625,-0.0234375,-0.03125,-0.046875,-0.2578125,-0.03125,-0.015625,-0.0234375,-0.03125,not run,not run,not run,not run,not run,not run,3.5,1,0.5,1,-2,0.8,0.8,1,1,1,0.666666667,0.4,0.8,0,0,0,0,15,12,9,9,12,12,13,12,9,17,15,14,18,14,8,3,13,17,20,13,8,1,17,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
384,Young,6436,win,11/2/21,11:28:01,1,3072861,1,2,0.171875,1.6640625,2.84375,1.640625,2.6484375,0.15625,1.015625,1.0078125,0.65625,not run,not run,not run,not run,not run,not run,-1.453125,-2.7890625,-2.40625,-1.234375,-0.3984375,-1.96875,-1.859375,-0.3984375,-3.34375,not run,not run,not run,not run,not run,not run,NA,1,NA,4,-2,0.4,0,0,0,0.4,0,0,0,0,0,0,0,16,9,9,6,14,17,17,9,9,1,13,19,19,8,8,9,15,20,20,13,9,1,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
385,Old,6400,win,11/2/21,13:09:57,1,2025473,1,1,1.984375,2.9765625,2.71875,1.984375,2.9765625,3.96875,1.984375,2.9765625,3.96875,not run,not run,not run,not run,not run,not run,-1.984375,-2.9765625,-3.96875,-1.984375,-2.9296875,-3.96875,-1.984375,-2.9765625,-3.96875,not run,not run,not run,not run,not run,not run,7,4,4,3,-2,0.8,0.4,0.6,0.2,0.6,0.266666667,0.2,0.133333333,0,0,0,0,1,21,17,20,4,5,17,20,19,12,13,3,16,17,17,13,12,12,12,13,13,12,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
387,Old,6436,win,11/2/21,13:04:42,1,2097600,1,1,1.015625,1.9921875,3.53125,1.453125,2.0390625,1.96875,1.203125,1.4296875,2.71875,not run,not run,not run,not run,not run,not run,-0.796875,-2.4609375,-1.90625,-0.328125,-1.2890625,-2.65625,-1.984375,-2.9765625,-1.96875,not run,not run,not run,not run,not run,not run,6.75,2,4,2,-2.25,0.2,0.533333333,0.8,0.666666667,0.6,0.533333333,1,0.533333333,0,0,0,0,13,6,18,6,16,17,17,7,16,15,16,17,18,7,17,11,15,16,16,4,13,15,16,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
